id,company_id,system_id,equipment_type_id,name,frequency_type,frequency_value,estimated_minutes,remarks,template_code,template_name,description,estimated_duration
PMT-LAK-SYS007-EQ020-WKLY,LAK,SYS007,EQ-020,PM ปั๊มลม รายสัปดาห์,week,1,60,"ตรวจความสะอาด, ระดับของเหลว, การรั่วซึม, สายพาน, เสียง/สั่นสะเทือน, ทำความสะอาดกรอก, ถ่ายน้ำทิ้ง",,PM ปั๊มลม รายสัปดาห์,,
PMT-LAK-SYS008-EQ021-3MTH,LAK,SYS008,EQ-021,PM ระบบพ่นฆ่าเชื้อ ราย 3 เดือน,month,3,90,"ทำความสะอาดหัวสเปรย์ (โรงรถยนต์), ห้องอาบน้ำสเปรย์, ห้องสเปรย์หน้าป้อม (ทุกวันอาทิตย์สุดท้ายของเดือน)",,PM ระบบพ่นฆ่าเชื้อ ราย 3 เดือน,,
PMT-LAK-SYS008-EQ021-6MTH,LAK,SYS008,EQ-021,PM ระบบพ่นฆ่าเชื้อ ราย 6 เดือน,month,6,120,"อัดจาระบี, ตรวจสอบซีล, เปลี่ยนถ่ายน้ำมันเครื่องของปั๊ม",,PM ระบบพ่นฆ่าเชื้อ ราย 6 เดือน,,
PMT-LAK-SYS008-EQ021-MTH,LAK,SYS008,EQ-021,PM ระบบพ่นฆ่าเชื้อ รายเดือน,month,1,60,ตรวจสอบสภาพปั๊ม/มอเตอร์/สายพาน และการทำงานของวาล์ว/เกจ,,PM ระบบพ่นฆ่าเชื้อ รายเดือน,,
PMT-LAK-TKB-PRE-CHICKEN,,,,Checklist ตรวจสอบก่อนไก่เข้า - ฟาร์มไก่,event,,,ใช้สำหรับก่อนนำไก่รุ่น/ไก่ไข่เข้าโรงเรือน,,Checklist ตรวจสอบก่อนไก่เข้า - ฟาร์มไก่,,
PMT-SA-SYSNULL-EQ001-6MTH,S.A.,,EQ-001,PM Generator ราย 6 เดือน,month,6,180,วัดค่าความต้านทานดิน,,PM Generator ราย 6 เดือน,,
PMT-SA-SYSNULL-EQ001-MTH,S.A.,,EQ-001,PM Generator รายเดือน,month,1,180,รวมงาน Load Test และ PdM,,PM Generator รายเดือน,,
PMT-SA-SYSNULL-EQ001-WKLY,S.A.,,EQ-001,PM Generator รายสัปดาห์,week,1,90,รวมงานตรวจความสะอาดและทดสอบเดินเครื่อง (No Load),,PM Generator รายสัปดาห์,,
PMT-SA-SYSNULL-EQ001-YR,S.A.,,EQ-001,PM Generator รายปี,year,1,360,"บำรุงรักษาใหญ่โดยผู้เชี่ยวชาญ (เปลี่ยนถ่ายน้ำมัน, ไส้กรอง)",,PM Generator รายปี,,
PMT-SM-SYS027-EQ001-6MTH,SM,SYS027,EQ-001,PM Generator ราย 6 เดือน,month,6,180,วัดค่าความต้านทานดิน,,PM Generator ราย 6 เดือน,,
PMT-SM-SYS027-EQ001-MTH,SM,SYS027,EQ-001,PM Generator รายเดือน,month,1,180,รวมงาน Load Test และ PdM,,PM Generator รายเดือน,,
PMT-SM-SYS027-EQ001-WKLY,SM,SYS027,EQ-001,PM Generator รายสัปดาห์,week,1,90,รวมงานตรวจความสะอาดและทดสอบเดินเครื่อง (No Load),,PM Generator รายสัปดาห์,,
PMT-SM-SYS027-EQ001-YR,SM,SYS027,EQ-001,PM Generator รายปี,year,1,360,"บำรุงรักษาใหญ่โดยผู้เชี่ยวชาญ (เปลี่ยนถ่ายน้ำมัน, ไส้กรอง)",,PM Generator รายปี,,
PMT-SM-SYS027-EQ002-3MTH,SM,SYS027,EQ-002,PM MDB ราย 3 เดือน,month,3,120,"วัดโหลด, ตรวจสอบ Capacitor Bank, ทำ PdM (ตรวจจุดร้อน)",,PM MDB ราย 3 เดือน,,
PMT-SM-SYS027-EQ002-6MTH,SM,SYS027,EQ-002,PM MDB ราย 6 เดือน,month,6,180,"ขันแน่นจุดเชื่อมต่อสายไฟ, ตรวจวัดค่า Capacitor, วัดค่าความต้านทานดิน",,PM MDB ราย 6 เดือน,,
PMT-SM-SYS027-EQ002-MTH,SM,SYS027,EQ-002,PM MDB รายเดือน,month,1,60,ทำความสะอาดตู้ และตรวจสอบมิเตอร์/หลอดไฟ,,PM MDB รายเดือน,,
PMT-SM-SYS027-EQ002-YR,SM,SYS027,EQ-002,PM MDB รายปี,year,1,360,"บำรุงรักษาใหญ่โดยผู้เชี่ยวชาญ (Trip Test, วัดค่าฉนวน)",,PM MDB รายปี,,
PMT-SM-SYS027-EQ003-YR,SM,SYS027,EQ-003,PM Transformer รายปี,year,1,360,"บำรุงรักษาใหญ่โดยผู้เชี่ยวชาญ (ทดสอบน้ำมัน, วัดค่าขดลวด/ฉนวน)",,PM Transformer รายปี,,
PMT-SM-SYS028-EQ026-3MTH,SM,SYS028,EQ-026,PM ปั๊มน้ำบาดาล/ปั๊มแรงดัน ราย 3 เดือน,month,3,90,,,PM ปั๊มน้ำบาดาล/ปั๊มแรงดัน ราย 3 เดือน,,
PMT-SM-SYS028-EQ026-MTH,SM,SYS028,EQ-026,PM ปั๊มน้ำบาดาล/ปั๊มแรงดัน รายเดือน,month,1,60,,,PM ปั๊มน้ำบาดาล/ปั๊มแรงดัน รายเดือน,,
PMT-SM-SYS028-EQ027-MTH,SM,SYS028,EQ-027,PM ถังเก็บน้ำ รายเดือน,month,1,45,,,PM ถังเก็บน้ำ รายเดือน,,
PMT-SM-SYS028-EQ028-3MTH,SM,SYS028,EQ-028,PM ระบบ CIP ราย 3 เดือน,month,3,120,,,PM ระบบ CIP ราย 3 เดือน,,
PMT-SM-SYS028-EQ029-6MTH,SM,SYS028,EQ-029,PM ระบบ UV ฆ่าเชื้อ ราย 6 เดือน,month,6,90,,,PM ระบบ UV ฆ่าเชื้อ ราย 6 เดือน,,
PMT-SM-SYS028-EQ029-YR,SM,SYS028,EQ-029,PM ระบบ UV ฆ่าเชื้อ รายปี,year,1,180,,,PM ระบบ UV ฆ่าเชื้อ รายปี,,
PMT-SM-SYS028-EQ030-3MTH,SM,SYS028,EQ-030,PM ระบบบำบัดน้ำเสีย ราย 3 เดือน,month,3,90,,,PM ระบบบำบัดน้ำเสีย ราย 3 เดือน,,
PMT-SM-SYS029-EQ020-3MTH,SM,SYS029,EQ-020,PM ปั๊มลม (ศูนย์นม) ราย 3 เดือน,month,3,90,,,PM ปั๊มลม (ศูนย์นม) ราย 3 เดือน,,
PMT-SM-SYS029-EQ020-6MTH,SM,SYS029,EQ-020,PM ปั๊มลม (ศูนย์นม) ราย 6 เดือน,month,6,120,,,PM ปั๊มลม (ศูนย์นม) ราย 6 เดือน,,
PMT-SM-SYS029-EQ020-MTH,SM,SYS029,EQ-020,PM ปั๊มลม (ศูนย์นม) รายเดือน,month,1,60,,,PM ปั๊มลม (ศูนย์นม) รายเดือน,,
PMT-SM-SYS031-EQ022-3MTH,SM,SYS031,EQ-022,PM ห้องรับน้ำนม ราย 3 เดือน,month,3,120,,,PM ห้องรับน้ำนม ราย 3 เดือน,,
PMT-SM-SYS031-EQ022-MTH,SM,SYS031,EQ-022,PM ห้องรับน้ำนม รายเดือน,month,1,90,,,PM ห้องรับน้ำนม รายเดือน,,
PMT-SM-SYS031-EQ022-YR,SM,SYS031,EQ-022,PM ห้องรับน้ำนม รายปี,year,1,360,,,PM ห้องรับน้ำนม รายปี,,
PMT-SM-SYS031-EQ023-6MTH,SM,SYS031,EQ-023,PM ถังเก็บน้ำนม ราย 6 เดือน,month,6,180,,,PM ถังเก็บน้ำนม ราย 6 เดือน,,
PMT-SM-SYS032-EQ024-3MTH,SM,SYS032,EQ-024,PM เครื่องทำความเย็น ราย 3 เดือน,month,3,90,,,PM เครื่องทำความเย็น ราย 3 เดือน,,
PMT-SM-SYS032-EQ024-6MTH,SM,SYS032,EQ-024,PM เครื่องทำความเย็น ราย 6 เดือน,month,6,120,,,PM เครื่องทำความเย็น ราย 6 เดือน,,
PMT-SM-SYS032-EQ025-3MTH,SM,SYS032,EQ-025,PM ถัง Ice Bank ราย 3 เดือน,month,3,90,,,PM ถัง Ice Bank ราย 3 เดือน,,
PMT-SM-SYS032-EQ025-DAILY,SM,SYS032,EQ-025,PM ถัง Ice Bank รายวัน,day,1,15,,,PM ถัง Ice Bank รายวัน,,
PMT-SM-SYS032-EQ025-MTH,SM,SYS032,EQ-025,PM ถัง Ice Bank รายเดือน,month,1,60,,,PM ถัง Ice Bank รายเดือน,,
PMT-SM-SYS032-EQ039-YR,SM,SYS032,EQ-039,PM เพลทแลกเปลี่ยนความร้อน รายปี,year,1,360,,,PM เพลทแลกเปลี่ยนความร้อน รายปี,,
PMT-SM-SYS033-EQ031-3MTH,SM,SYS033,EQ-031,PM ระบบกล้องวงจรปิด ราย 3 เดือน,month,3,60,,,PM ระบบกล้องวงจรปิด ราย 3 เดือน,,
PMT-SM-SYS033-EQ031-6MTH,SM,SYS033,EQ-031,PM ระบบกล้องวงจรปิด ราย 6 เดือน,month,6,90,,,PM ระบบกล้องวงจรปิด ราย 6 เดือน,,
PMT-SM-SYS033-EQ031-MTH,SM,SYS033,EQ-031,PM ระบบกล้องวงจรปิด รายเดือน,month,1,45,,,PM ระบบกล้องวงจรปิด รายเดือน,,
PMT-SM-SYS033-EQ032-6MTH,SM,SYS033,EQ-032,PM ระบบป้องกันอัคคีภัย ราย 6 เดือน,month,6,60,,,PM ระบบป้องกันอัคคีภัย ราย 6 เดือน,,
PMT-TKB-SYS005-EQ014-6MTH,TKB,SYS005,EQ-014,PM เครื่องสับย่อย ราย 6 เดือน,month,6,90,หล่อลื่นลูกปืนและจุดหมุนต่างๆ (พนง.ทำ),,PM เครื่องสับย่อย ราย 6 เดือน,,
PMT-TKB-SYS005-EQ014-MTH,TKB,SYS005,EQ-014,PM เครื่องสับย่อย รายเดือน,month,1,60,ตรวจสอบสภาพโดยรวมและสายพาน (พนง. หยอดน้ำมันโซ่),,PM เครื่องสับย่อย รายเดือน,,
PMT-TKB-SYS005-EQ015-MTH,TKB,SYS005,EQ-015,PM ระบบถังอบ รายเดือน,month,1,90,"ทำความสะอาดตู้ควบคุม, ตรวจเช็คระบบหล่อลื่นที่ตัวปั๊มน้ำมันอัตโนมัติ, ตรวจเช็คการทำงานของระบบไฮดรอลิค, ตรวจสอบ Blower/Heater",,PM ระบบถังอบ รายเดือน,,
PMT-TKB-SYS005-EQ016-3MTH,TKB,SYS005,EQ-016,PM ระบบควบคุม (โรงปุ๋ย) ราย 3 เดือน,month,3,120,"ตรวจสอบ PLC, เซ็นเซอร์, และตรวจจุดร้อนตู้ SMDB (PdM)",,PM ระบบควบคุม (โรงปุ๋ย) ราย 3 เดือน,,
PMT-TKB-SYS005-EQ017-MTH,TKB,SYS005,EQ-017,PM ระบบควบคุมกลิ่น รายเดือน,month,1,60,"ตรวจสอบปั๊ม, หัวสเปรย์, Heater, และมอเตอร์/สายพาน",,PM ระบบควบคุมกลิ่น รายเดือน,,
PMT-TKB-SYS019-EQ004-3MTH,TKB,SYS019,EQ-004,PM Climate Controller ราย 3 เดือน,month,3,60,ทดสอบ Alarm Test และตรวจสอบแบตเตอรี่สำรอง,,PM Climate Controller ราย 3 เดือน,,
PMT-TKB-SYS019-EQ004-6MTH,TKB,SYS019,EQ-004,PM Climate Controller ราย 6 เดือน,month,6,90,ตรวจสอบความแม่นยำของเซ็นเซอร์,,PM Climate Controller ราย 6 เดือน,,
PMT-TKB-SYS019-EQ004-MTH,TKB,SYS019,EQ-004,PM Climate Controller รายเดือน,month,1,45,"ทำความสะอาดเซ็นเซอร์และตัวเครื่อง, บันทึกค่า T/H",,PM Climate Controller รายเดือน,,
PMT-TKB-SYS019-EQ005-3MTH,TKB,SYS019,EQ-005,PM Ventilation System ราย 3 เดือน,month,3,90,"ทดสอบระบบควบคุม, วัดกระแสมอเตอร์, ตรวจสอบจุดร้อน (PdM)",,PM Ventilation System ราย 3 เดือน,,
PMT-TKB-SYS019-EQ005-MTH,TKB,SYS019,EQ-005,PM Ventilation System รายเดือน,month,1,60,"ตรวจสอบความสะอาด, สภาพโดยรวม, การทำงาน (เสียง/สั่น), ความตึงสายพาน",,PM Ventilation System รายเดือน,,
PMT-TKB-SYS019-EQ006-3MTH,TKB,SYS019,EQ-006,PM Cooling Pad ราย 3 เดือน,month,3,90,ตรวจเช็คระบบควบคุม (รับคำสั่งจาก Controller),,PM Cooling Pad ราย 3 เดือน,,
PMT-TKB-SYS019-EQ006-MTH,TKB,SYS019,EQ-006,PM Cooling Pad รายเดือน,month,1,60,ตรวจสอบการทำงาน (ปั๊ม/ลูกลอย/เซ็นเซอร์) และทำความสะอาดไส้กรองปั๊ม,,PM Cooling Pad รายเดือน,,
PMT-TKB-SYS019-EQ007-3MTH,TKB,SYS019,EQ-007,PM Lighting System ราย 3 เดือน,month,3,45,ตรวจสอบระบบควบคุมแสงสว่าง (Timer / Dimmer),,PM Lighting System ราย 3 เดือน,,
PMT-TKB-SYS020-EQ008-3MTH,TKB,SYS020,EQ-008,PM ระบบให้อาหาร ราย 3 เดือน,month,3,90,หยอดน้ำมันโซ่ และตรวจสอบระบบควบคุมอัตโนมัติ,,PM ระบบให้อาหาร ราย 3 เดือน,,
PMT-TKB-SYS020-EQ008-6MTH,TKB,SYS020,EQ-008,PM ระบบให้อาหาร ราย 6 เดือน,month,6,120,อัดจาระบีตามจุดที่กำหนด,,PM ระบบให้อาหาร ราย 6 เดือน,,
PMT-TKB-SYS020-EQ008-MTH,TKB,SYS020,EQ-008,PM ระบบให้อาหาร รายเดือน,month,1,60,"ตรวจสอบความสะอาด, การทำงานของมอเตอร์และเซ็นเซอร์",,PM ระบบให้อาหาร รายเดือน,,
PMT-TKB-SYS020-EQ010-3MTH,TKB,SYS020,EQ-010,PM Manure Belt ราย 3 เดือน,month,3,90,หยอดน้ำมันโซ่ และตรวจสอบระบบควบคุม,,PM Manure Belt ราย 3 เดือน,,
PMT-TKB-SYS020-EQ010-6MTH,TKB,SYS020,EQ-010,PM Manure Belt ราย 6 เดือน,month,6,120,อัดจาระบี และตรวจสอบสภาพลูกปืน/เฟือง/ลูกกลิ้ง,,PM Manure Belt ราย 6 เดือน,,
PMT-TKB-SYS020-EQ010-MTH,TKB,SYS020,EQ-010,PM Manure Belt รายเดือน,month,1,60,ตรวจสอบการทำงานของสายพานและมอเตอร์,,PM Manure Belt รายเดือน,,
PMT-TKB-SYS024-EQ021-3MTH,TKB,SYS024,EQ-021,PM ระบบพ่นฆ่าเชื้อ ราย 3 เดือน,month,3,90,"ทำความสะอาดหัวสเปรย์ (โรงรถยนต์), ห้องอาบน้ำสเปรย์, ห้องสเปรย์หน้าป้อม (ทุกวันอาทิตย์สุดท้ายของเดือน)",,PM ระบบพ่นฆ่าเชื้อ ราย 3 เดือน,,
PMT-TKB-SYS024-EQ021-6MTH,TKB,SYS024,EQ-021,PM ระบบพ่นฆ่าเชื้อ ราย 6 เดือน,month,6,120,"อัดจาระบี, ตรวจสอบซีล, เปลี่ยนถ่ายน้ำมันเครื่องของปั๊ม",,PM ระบบพ่นฆ่าเชื้อ ราย 6 เดือน,,
PMT-TKB-SYS024-EQ021-MTH,TKB,SYS024,EQ-021,PM ระบบพ่นฆ่าเชื้อ รายเดือน,month,1,60,ตรวจสอบสภาพปั๊ม/มอเตอร์/สายพาน และการทำงานของวาล์ว/เกจ,,PM ระบบพ่นฆ่าเชื้อ รายเดือน,,
pmt1,comp1,sys1,et1,Conveyor Belt Monthly Check,monthly,1,60,Check belt tension and alignment,,Conveyor Belt Monthly Check,,
pmt2,comp1,sys1,et2,CNC Machine Weekly Maintenance,weekly,1,120,Lubrication and calibration check,,CNC Machine Weekly Maintenance,,
pmt3,comp1,sys2,et3,Pump Quarterly Service,quarterly,3,90,Filter replacement and pressure check,,Pump Quarterly Service,,
pmt4,comp2,sys3,et4,Generator Monthly Test,monthly,1,45,Load test and fuel check,,Generator Monthly Test,,
pmt5,comp3,sys2,et5,HVAC System Bi-annual Service,yearly,6,180,Complete system overhaul,,HVAC System Bi-annual Service,,
